State                       1990        1980        1970
Maine                       1227928	    1125043	     993722
New Hampshire               1109252	     920610		 737681
Vermont                      562758	     511456		 444732
Massachusetts               6016425	    5737093	    5689170
Rhode Island                1003464	     947154		 949723
Connecticut                 3287116	    3107564	    3032217
New York                   17990455	   17558165	   18241391
New Jersey                  7730168	    7365011	    7171112
Pennsylvania               11881643    11864720	   11800766
Ohio                       10847115	   10797603	   10657423
Indiana                     5544159	    5490210	    5195392
Illinois                   11430602	   11427409	   11110285
Michigan                    9295297	    9262044	    8881826
Wisconsin                   4891769	    4705642	    4417821
Minnesota                   4375099	    4075970	    3806103
Iowa                        2776755	    2913808	    2825368
Missouri                    5117073	    4916766	    4677623
North Dakota                 638800	     652717		 617792
South Dakota                 696004	     690768		 666257
Nebraska                    1578385	    1569825	    1485333
Kansas                      2477574	    2364236	    2249071
Delaware                     666168	     594338		 548104
Maryland                    4781468	    4216933	    3923897
Virginia                    6187358	    5346797	    4651448
West Virginia               1793477	    1950186	    1744237
North Carolina              6628637	    5880095	    5084411
South Carolina              3486703	    3120729	    2590713
Georgia                     6478216	    5462982	    4587930
Florida                    12937926	    9746961	    6791418
Kentucky                    3685296	    3660324	    3220711
Tennessee                   4877185	    4591023	    3926018
Alabama                     4040587	    3894025	    3444354
Mississippi                 2573216	    2520770	    2216994
Arkansas                    2350725	    2286357	    1923322
Louisiana                   4219973	    4206116	    3644637
Oklahoma                    3145585	    3025487	    2559463
Texas                      16986510	   14225513	   11198655
Montana                      799065	     786690	     694409
Idaho                       1006749	     944127		 713015
Wyoming                      453588	     469557		 332416
Colorado                    3294394	    2889735	    2209596
New Mexico                  1515069	    1303302	    1017055
Arizona                     3665228	    2716546	    1775399
Utah                        1722850	    1461037	    1059273
Nevada                      1201833	     800508		 488738
Washington                  4866692	    4132353	    3413244
Oregon                      2842321	    2633156	    2091533
California                 29760021	   23667764    19971069
Alaska                       550043	     401851		 302853
Hawaii                      1108229	     964691		 769913
